job_title,description,company_name,employee_role,location,skills,salary_range,job_type,qualification,experience,expire_date
Cybersecurity Analyst,"Monitor security threats, conduct vulnerability assessments, and implement security protocols.",Apple,Part-time,Seattle,"C++, Embedded Systems",$120k-$150k,On-site,Diploma in Software Engineering,Entry-level,14-09-2025
Frontend Developer,Develop interactive web interfaces using modern frameworks.,Adobe,Freelancer,Boston,"JavaScript, TypeScript",$80k-$100k,On-site,PhD in AI,Entry-level,21-05-2025
Database Administrator,"Manage database performance, security, and optimization.",Google,Intern,New York,"React, Node.js",$80k-$100k,Hybrid,Master in IT,Senior-level,26-11-2025
Cloud Architect,"Design and manage cloud infrastructure, ensuring scalability and security.",IBM,Part-time,Chicago,"Java, Spring Boot",$60k-$80k,Remote,Diploma in Software Engineering,Entry-level,28-05-2025
Database Administrator,"Manage database performance, security, and optimization.",Facebook,Freelancer,New York,"AWS, DevOps",$150k-$200k,On-site,MSc Computer Science,Internship,18-09-2025
Machine Learning Engineer,Develop and deploy machine learning models for automation and decision-making.,Adobe,Part-time,Atlanta,"JavaScript, TypeScript",$120k-$150k,Remote,MSc Computer Science,Internship,10-12-2025
Cloud Architect,"Design and manage cloud infrastructure, ensuring scalability and security.",Microsoft,Full-time,Atlanta,"Java, Spring Boot",$120k-$150k,Remote,PhD in AI,Entry-level,30-03-2025
Full-Stack Developer,Develop front-end and back-end components of web applications.,IBM,Part-time,Chicago,"Cybersecurity, Penetration Testing",$120k-$150k,Hybrid,Master in IT,Internship,09-02-2026
DevOps Engineer,"Manage CI/CD pipelines, automate infrastructure, and ensure system reliability.",Adobe,Full-time,Denver,"React, Node.js",$60k-$80k,Hybrid,PhD in AI,Senior-level,15-10-2025
Frontend Developer,Develop interactive web interfaces using modern frameworks.,Adobe,Full-time,New York,"C++, Embedded Systems",$40k-$60k,Remote,Diploma in Software Engineering,Senior-level,25-10-2025
UI/UX Designer,"Design user-friendly interfaces, conduct user research, and improve user experience.",Google,Intern,San Francisco,Ruby on Rails,$60k-$80k,Hybrid,Master in IT,Mid-level,12-07-2025
Cloud Architect,"Design and manage cloud infrastructure, ensuring scalability and security.",Adobe,Freelancer,Los Angeles,"Java, Spring Boot",$120k-$150k,Hybrid,BE-IT,Internship,15-05-2025
System Administrator,"Manage IT infrastructure, maintain servers, and ensure network security.",Netflix,Part-time,Austin,"Cybersecurity, Penetration Testing",$40k-$60k,Hybrid,Master in IT,Senior-level,13-02-2026
Backend Developer,"Build and maintain server-side logic, databases, and APIs.",IBM,Full-time,Seattle,Ruby on Rails,$100k-$120k,Hybrid,Diploma in Software Engineering,Senior-level,26-08-2025
AI Researcher,"Conduct research on artificial intelligence, develop innovative algorithms, and publish findings.",Netflix,Part-time,Chicago,"C++, Embedded Systems",$100k-$120k,Hybrid,BE-IT,Senior-level,28-08-2025
UI/UX Designer,"Design user-friendly interfaces, conduct user research, and improve user experience.",Facebook,Full-time,Atlanta,"Java, Spring Boot",$80k-$100k,Remote,BE-IT,Internship,19-10-2025
Database Administrator,"Manage database performance, security, and optimization.",IBM,Part-time,New York,"JavaScript, TypeScript",$40k-$60k,Remote,PhD in AI,Senior-level,16-04-2025
Frontend Developer,Develop interactive web interfaces using modern frameworks.,Facebook,Part-time,San Francisco,"SQL, Data Analysis",$60k-$80k,Hybrid,BE-IT,Entry-level,20-09-2025
Backend Developer,"Build and maintain server-side logic, databases, and APIs.",Microsoft,Full-time,New York,"UI/UX Design, Figma",$40k-$60k,Hybrid,Master in IT,Senior-level,13-10-2025
Data Scientist,"Analyze large datasets, build predictive models, and extract actionable insights.",Netflix,Freelancer,San Francisco,"AWS, DevOps",$40k-$60k,Remote,MSc Computer Science,Entry-level,20-01-2026
Frontend Developer,Develop interactive web interfaces using modern frameworks.,Apple,Freelancer,Atlanta,"AWS, DevOps",$40k-$60k,Hybrid,BE-IT,Entry-level,19-09-2025
System Administrator,"Manage IT infrastructure, maintain servers, and ensure network security.",Google,Full-time,Atlanta,"UI/UX Design, Figma",$40k-$60k,Remote,MSc Computer Science,Mid-level,12-08-2025
Software Engineer,"Develop and maintain software applications, troubleshoot issues, and optimize performance.",Microsoft,Intern,Seattle,Ruby on Rails,$60k-$80k,Hybrid,Diploma in Software Engineering,Internship,04-08-2025
Full-Stack Developer,Develop front-end and back-end components of web applications.,Intel,Full-time,Chicago,"Java, Spring Boot",$80k-$100k,Hybrid,MSc Computer Science,Senior-level,22-11-2025
Backend Developer,"Build and maintain server-side logic, databases, and APIs.",Netflix,Full-time,Chicago,"UI/UX Design, Figma",$100k-$120k,Remote,BSc Computer Science,Mid-level,05-08-2025
Frontend Developer,Develop interactive web interfaces using modern frameworks.,Intel,Freelancer,Chicago,"AWS, DevOps",$100k-$120k,Remote,Diploma in Software Engineering,Senior-level,04-04-2025
Frontend Developer,Develop interactive web interfaces using modern frameworks.,Microsoft,Intern,Denver,"UI/UX Design, Figma",$150k-$200k,Remote,MSc Computer Science,Senior-level,10-04-2025
Embedded Systems Engineer,"Develop software for embedded systems, optimizing for performance and reliability.",Amazon,Part-time,Austin,"Python, Machine Learning",$60k-$80k,Hybrid,PhD in AI,Senior-level,23-05-2025
UI/UX Designer,"Design user-friendly interfaces, conduct user research, and improve user experience.",Google,Freelancer,Miami,"React, Node.js",$60k-$80k,Remote,PhD in AI,Senior-level,03-07-2025
IT Support Specialist,"Provide technical support, troubleshoot hardware/software issues, and assist users.",Google,Intern,Denver,"C++, Embedded Systems",$150k-$200k,Hybrid,PhD in AI,Senior-level,14-05-2025
Machine Learning Engineer,Develop and deploy machine learning models for automation and decision-making.,Netflix,Part-time,Denver,"Cybersecurity, Penetration Testing",$40k-$60k,On-site,BSc Computer Science,Entry-level,30-10-2025
IT Support Specialist,"Provide technical support, troubleshoot hardware/software issues, and assist users.",Apple,Intern,Seattle,"SQL, Data Analysis",$80k-$100k,Remote,BE-IT,Senior-level,27-07-2025
Backend Developer,"Build and maintain server-side logic, databases, and APIs.",Amazon,Full-time,Denver,Ruby on Rails,$40k-$60k,Hybrid,Master in IT,Mid-level,22-07-2025
Full-Stack Developer,Develop front-end and back-end components of web applications.,Adobe,Freelancer,Denver,"UI/UX Design, Figma",$150k-$200k,Hybrid,Diploma in Software Engineering,Mid-level,07-12-2025
Machine Learning Engineer,Develop and deploy machine learning models for automation and decision-making.,Facebook,Freelancer,Austin,"Cybersecurity, Penetration Testing",$60k-$80k,Remote,BSc Computer Science,Internship,09-02-2026
Data Scientist,"Analyze large datasets, build predictive models, and extract actionable insights.",Amazon,Intern,Austin,"React, Node.js",$40k-$60k,Remote,BSc Computer Science,Entry-level,29-07-2025
Database Administrator,"Manage database performance, security, and optimization.",Google,Intern,San Francisco,"Python, Machine Learning",$80k-$100k,Hybrid,Master in IT,Mid-level,11-02-2026
Machine Learning Engineer,Develop and deploy machine learning models for automation and decision-making.,Facebook,Full-time,Los Angeles,"Java, Spring Boot",$100k-$120k,Hybrid,BSc Computer Science,Internship,24-11-2025
DevOps Engineer,"Manage CI/CD pipelines, automate infrastructure, and ensure system reliability.",Facebook,Intern,San Francisco,"C++, Embedded Systems",$40k-$60k,On-site,Master in IT,Internship,13-07-2025
Software Engineer,"Develop and maintain software applications, troubleshoot issues, and optimize performance.",Salesforce,Intern,Los Angeles,"React, Node.js",$80k-$100k,On-site,MSc Computer Science,Senior-level,15-12-2025
Backend Developer,"Build and maintain server-side logic, databases, and APIs.",Salesforce,Part-time,Miami,Ruby on Rails,$120k-$150k,Hybrid,BE-IT,Senior-level,08-10-2025
Database Administrator,"Manage database performance, security, and optimization.",Facebook,Freelancer,Boston,"Cybersecurity, Penetration Testing",$150k-$200k,On-site,BE-IT,Senior-level,09-06-2025
DevOps Engineer,"Manage CI/CD pipelines, automate infrastructure, and ensure system reliability.",Apple,Intern,Chicago,"Python, Machine Learning",$100k-$120k,On-site,Master in IT,Entry-level,26-08-2025
Cybersecurity Analyst,"Monitor security threats, conduct vulnerability assessments, and implement security protocols.",Microsoft,Part-time,Denver,"JavaScript, TypeScript",$80k-$100k,Remote,Diploma in Software Engineering,Entry-level,12-07-2025
